sr_no,HostTimestamp,NodeTimestamp_x,X_mg,Y_mg,Z_mg,X_mGa,Y_mGa,Z_mGa,X_dps,Y_dps,Z_dps,move_type
69,526193,70865,155,-35,988,-117,-460,-64,0.1,-0.4,-0.2,L
70,526253,70871,156,-18,999,-115,-456,-64,1.2,-0.3,-1.1,L
71,526284,70877,165,-15,996,-120,-459,-67,1.8,-0.4,0.3,L
72,526344,70884,171,-18,998,-124,-463,-64,1.8,0.9,0.9,L
73,526404,70890,152,-7,1015,-120,-460,-66,1.4,1.4,0.1,L
74,526433,70896,162,-26,1006,-118,-468,-66,0,0.4,1.9,L
75,526494,70902,153,-23,1014,-120,-468,-66,0,-1.6,3,L
76,526555,70909,149,-27,1014,-112,-472,-69,-2.8,0.2,0.4,L
77,526584,70915,148,-52,981,-120,-465,-63,-0.7,-2.1,1.6,L
78,526644,70921,150,-17,1017,-114,-465,-57,0,-1.8,0.4,L
79,526704,70927,158,-33,990,-114,-472,-57,-0.5,-1.4,0.9,L
80,526733,70934,170,-21,1004,-115,-468,-66,-1.1,-0.2,0.3,L
81,526795,70940,165,-12,1015,-115,-474,-61,-0.7,-0.9,2.3,L
82,526855,70946,165,-48,1000,-115,-475,-69,-0.8,-1.1,1.5,L
83,526883,70952,159,-34,1011,-118,-463,-57,0,-1.7,2.6,L
84,526945,70959,151,-59,988,-117,-477,-60,-4.3,1.3,-0.7,L
85,527005,70965,150,-61,982,-114,-471,-60,-2.5,0.4,-1.4,L
86,527033,70971,142,-49,1009,-115,-472,-57,-0.5,0,-1.3,L
1,815930,113771,56,-945,224,241,-199,-298,44.7,9,-0.2,L
2,815959,113778,-69,-904,228,241,-199,-298,13.2,4.2,18.6,L
3,816020,113784,-86,-963,266,231,-198,-318,24.9,-7.7,10,L
